,FIELD,CODE,TICKER
215,RI,FJP,@FJP
216,RI,FKO,@FKO
217,RI,FKU,@FKU
218,RI,FLM,U:FLM
219,RI,FLN,@FLN
220,RI,FLV,U:FLV
221,RI,FMB,@FMB
222,RI,FMF,U:FMF
223,RI,FMK,@FMK
224,RI,FNI,U:FNI
225,RI,FNK,@FNK
226,RI,FNX,@FNX
227,RI,FNY,@FNY
228,RI,FPA,@FPA
229,RI,FPE,U:FPE
230,RI,FPX,U:FPX
231,RI,FRI,U:FRI
232,RI,FSZ,@FSZ
233,RI,FTA,@FTA
234,RI,FTC,@FTC
235,RI,FUD,U:FUD
236,RI,FUE,U:FUE
237,RI,FUT,U:FUT
238,RI,FVC,@FVC
239,RI,FVD,U:FVD
240,RI,FVL,U:FVL
241,RI,FXA,U:FXA
242,RI,FXB,U:FXB
243,RI,FXC,U:FXC
244,RI,FXD,U:FXD
245,RI,FXE,U:FXE
246,RI,FXF,U:FXF
247,RI,FXG,U:FXG
248,RI,FXH,U:FXH
249,RI,FXI,U:FXI
250,RI,FXL,U:FXL
251,RI,FXN,U:FXN
252,RI,FXO,U:FXO
253,RI,FXP,U:FXP
254,RI,FXR,U:FXR
255,RI,FXU,U:FXU
256,RI,FXY,U:FXY
257,RI,FXZ,U:FXZ
258,RI,FYC,@FYC
259,RI,FYT,@FYT
260,RI,FYX,@FYX
261,RI,GAA,U:GAA
262,RI,GAL,U:GAL
263,RI,GAZ,U:GAZ
264,RI,GBF,U:GBF
265,RI,GCC,U:GCC
266,RI,GDX,U:GDX
267,RI,GEM,U:GEM
268,RI,GII,U:GII
269,RI,GLD,U:GLD
270,RI,GLL,U:GLL
271,RI,GMF,U:GMF
272,RI,GNR,U:GNR
273,RI,GRN,U:GRN
274,RI,GRU,U:GRU
275,RI,GSG,U:GSG
276,RI,GSP,U:GSP
277,RI,GSY,U:GSY
278,RI,GTO,U:GTO
279,RI,GVI,U:GVI
280,RI,GWX,U:GWX
281,RI,GXC,U:GXC
282,RI,GXF,U:GXF
283,RI,GXG,U:GXG
284,RI,HAP,U:HAP
285,RI,HDG,U:HDG
286,RI,HDV,U:HDV
287,RI,HYD,U:HYD
288,RI,HYG,U:HYG
289,RI,HYS,U:HYS
290,RI,IAI,U:IAI
291,RI,IAK,U:IAK
292,RI,IAT,U:IAT
293,RI,IAU,U:IAU
294,RI,IBB,@IBB
295,RI,IBD,U:IBD
296,RI,ICF,U:ICF
297,RI,IDU,U:IDU
298,RI,IDV,U:IDV
299,RI,IDX,U:IDX
300,RI,IEF,@IEF
301,RI,IEI,@IEI
302,RI,IEO,U:IEO
303,RI,IEV,U:IEV
304,RI,IEZ,U:IEZ
305,RI,IFV,@IFV
306,RI,IGE,U:IGE
307,RI,IGF,@IGF
308,RI,IGM,U:IGM
309,RI,IGN,U:IGN
310,RI,IGV,U:IGV
311,RI,IHE,U:IHE
312,RI,IHF,U:IHF
313,RI,IHI,U:IHI
314,RI,IHY,U:IHY
315,RI,IJH,U:IJH
316,RI,IJJ,U:IJJ
317,RI,IJK,U:IJK
318,RI,IJR,U:IJR
319,RI,IJS,U:IJS
320,RI,IJT,@IJT
321,RI,ILF,U:ILF
322,RI,IOO,U:IOO
323,RI,IPO,U:IPO
324,RI,IQM,U:IQM
325,RI,ITA,U:ITA
326,RI,ITB,U:ITB
327,RI,ITM,U:ITM
328,RI,IUS,@IUS
329,RI,IVE,U:IVE
330,RI,IVV,U:IVV
331,RI,IVW,U:IVW
332,RI,IWB,U:IWB
333,RI,IWC,U:IWC
334,RI,IWD,U:IWD
335,RI,IWF,U:IWF
336,RI,IWL,U:IWL
337,RI,IWM,U:IWM
338,RI,IWN,U:IWN
339,RI,IWO,U:IWO
340,RI,IWP,U:IWP
341,RI,IWR,U:IWR
342,RI,IWS,U:IWS
343,RI,IWV,U:IWV
344,RI,IWX,U:IWX
345,RI,IWY,U:IWY
346,RI,IXC,U:IXC
347,RI,IXG,U:IXG
348,RI,IXJ,U:IXJ
349,RI,IXN,U:IXN
350,RI,IXP,U:IXP
351,RI,IYC,U:IYC
352,RI,IYE,U:IYE
353,RI,IYF,U:IYF
354,RI,IYG,U:IYG
355,RI,IYH,U:IYH
356,RI,IYJ,U:IYJ
357,RI,IYK,U:IYK
358,RI,IYM,U:IYM
359,RI,IYR,U:IYR
360,RI,IYT,U:IYT
361,RI,IYW,U:IYW
362,RI,IYY,U:IYY
363,RI,IYZ,U:IYZ
364,RI,JIG,U:JIG
365,RI,JJA,U:JJA
366,RI,JJC,U:JJC
367,RI,JJE,U:JJE
368,RI,JJG,U:JJG
369,RI,JJM,U:JJM
370,RI,JJN,U:JJN
371,RI,JJP,U:JJP
372,RI,JJS,U:JJS
373,RI,JJT,U:JJT
374,RI,JJU,U:JJU
375,RI,JKD,U:JKD
376,RI,JKE,U:JKE
377,RI,JKF,U:JKF
378,RI,JKG,U:JKG
379,RI,JKH,U:JKH
380,RI,JKI,@JKI
381,RI,JKJ,U:JKJ
382,RI,JKK,U:JKK
383,RI,JKL,U:JKL
384,RI,JNK,U:JNK
385,RI,JPN,U:JPN
386,RI,JXI,U:JXI
387,RI,KBA,U:KBA
388,RI,KBE,U:KBE
389,RI,KCE,U:KCE
390,RI,KIE,U:KIE
391,RI,KNG,U:KNG
392,RI,KOL,U:KOL
393,RI,KRE,U:KRE
394,RI,KSA,U:KSA
395,RI,KXI,U:KXI
396,RI,LBJ,U:LBJ
397,RI,LCG,U:LCG
398,RI,LCR,U:LCR
399,RI,LGH,U:LGH
400,RI,LIT,U:LIT
401,RI,LQD,U:LQD
402,RI,LTL,U:LTL
403,RI,MBB,@MBB
404,RI,MDY,U:MDY
405,RI,MGC,U:MGC
406,RI,MGK,U:MGK
407,RI,MGV,U:MGV
408,RI,MID,U:MID
409,RI,MJJ,U:MJJ
410,RI,MJO,U:MJO
411,RI,MLN,U:MLN
412,RI,MNA,U:MNA
413,RI,MOM,U:MOM
414,RI,MOO,U:MOO
415,RI,MUB,U:MUB
416,RI,MVV,U:MVV
417,RI,MXI,U:MXI
418,RI,MYY,U:MYY
419,RI,MZZ,U:MZZ
420,RI,NGE,U:NGE
421,RI,NIB,U:NIB
422,RI,NLR,U:NLR
423,RI,NYF,U:NYF
424,RI,OEF,U:OEF
425,RI,OIH,U:OIH
426,RI,OIL,U:OIL
427,RI,OLD,@OLD
428,RI,OVB,U:OVB
429,RI,OVF,U:OVF
430,RI,OVL,U:OVL
431,RI,OVM,U:OVM
432,RI,OVS,U:OVS
433,RI,PAK,U:PAK
434,RI,PBD,U:PBD
435,RI,PBE,U:PBE
436,RI,PBJ,U:PBJ
437,RI,PBP,U:PBP
438,RI,PBS,U:PBS
439,RI,PBW,U:PBW
440,RI,PCY,U:PCY
441,RI,PDN,U:PDN
442,RI,PDP,@PDP
443,RI,PEJ,U:PEJ
444,RI,PEX,U:PEX
445,RI,PEY,@PEY
446,RI,PEZ,@PEZ
447,RI,PFF,@PFF
448,RI,PFI,@PFI
449,RI,PFM,@PFM
450,RI,PGF,U:PGF
451,RI,PGJ,@PGJ
452,RI,PGM,U:PGM
453,RI,PGX,U:PGX
454,RI,PHB,U:PHB
455,RI,PHO,@PHO
456,RI,PID,@PID
457,RI,PIE,@PIE
458,RI,PIN,U:PIN
459,RI,PIO,@PIO
460,RI,PIZ,@PIZ
461,RI,PJP,U:PJP
462,RI,PKB,U:PKB
463,RI,PKW,@PKW
464,RI,PLC,@PLC
465,RI,PLW,@PLW
466,RI,PPA,U:PPA
467,RI,PPH,@PPH
468,RI,PRF,U:PRF
469,RI,PRN,@PRN
470,RI,PSC,@PSC
471,RI,PSI,U:PSI
472,RI,PSJ,U:PSJ
473,RI,PSK,U:PSK
474,RI,PSL,@PSL
475,RI,PSM,@PSM
476,RI,PSP,U:PSP
477,RI,PSQ,U:PSQ
478,RI,PSR,U:PSR
479,RI,PST,U:PST
480,RI,PTF,@PTF
481,RI,PTH,@PTH
482,RI,PUI,@PUI
483,RI,PVI,U:PVI
484,RI,PWB,U:PWB
485,RI,PWC,U:PWC
486,RI,PWS,U:PWS
487,RI,PWV,U:PWV
488,RI,PWZ,U:PWZ
489,RI,PXE,U:PXE
490,RI,PXF,U:PXF
491,RI,PXH,U:PXH
492,RI,PXI,@PXI
493,RI,PXJ,U:PXJ
494,RI,PXQ,U:PXQ
495,RI,PYZ,@PYZ
496,RI,PZA,U:PZA
497,RI,PZD,U:PZD
498,RI,PZT,U:PZT
499,RI,QAI,U:QAI
500,RI,QAT,@QAT
501,RI,QDF,U:QDF
502,RI,QED,U:QED
503,RI,QID,U:QID
504,RI,QLC,U:QLC
